interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
AXL_IL15RA,CAFs.CAFs,AXL_IL15RA-CAFs.CAFs,0.628,0.503,1.248508946,0.096391659
COL11A1_a1b1 complex,CAFs.CAFs,COL11A1_a1b1 complex-CAFs.CAFs,0.683,0.592,1.153716216,0.062098997
COL6A1_a1b1 complex,CAFs.CAFs,COL6A1_a1b1 complex-CAFs.CAFs,23.577,10.691,2.20531288,0.343470214
COL6A2_a1b1 complex,CAFs.CAFs,COL6A2_a1b1 complex-CAFs.CAFs,24.649,12.809,1.924350066,0.284284079
COL6A3_a1b1 complex,CAFs.CAFs,COL6A3_a1b1 complex-CAFs.CAFs,9.144,5.325,1.717183099,0.234816605
COL5A3_a1b1 complex,CAFs.CAFs,COL5A3_a1b1 complex-CAFs.CAFs,0.98,1.116,0.878136201,-0.056438119
COL7A1_a1b1 complex,CAFs.CAFs,COL7A1_a1b1 complex-CAFs.CAFs,0.977,2.361,0.413807709,-0.383201423
JAM2_JAM3,CAFs.CAFs,JAM2_JAM3-CAFs.CAFs,0.444,0.399,1.112781955,0.046410074
COL5A2_a1b1 complex,CAFs.CAFs,COL5A2_a1b1 complex-CAFs.CAFs,4.292,4.018,1.068193131,0.028649781
COL15A1_a1b1 complex,CAFs.CAFs,COL15A1_a1b1 complex-CAFs.CAFs,1.833,1.155,1.587012987,0.200580481
ACKR3_CXCL12,CAFs.CAFs,ACKR3_CXCL12-CAFs.CAFs,5.928,0.839,7.065554231,0.849146234
COL12A1_a1b1 complex,CAFs.CAFs,COL12A1_a1b1 complex-CAFs.CAFs,2.063,1.988,1.037726358,0.016082848
COL16A1_a1b1 complex,CAFs.CAFs,COL16A1_a1b1 complex-CAFs.CAFs,1.49,0.928,1.605603448,0.205638292
COL14A1_a1b1 complex,CAFs.CAFs,COL14A1_a1b1 complex-CAFs.CAFs,1.39,0.1,13.9,1.1430148
CSF1_SIRPA,CAFs.CAFs,CSF1_SIRPA-CAFs.CAFs,0.596,0.1,5.96,0.77524626
COL27A1_a1b1 complex,CAFs.CAFs,COL27A1_a1b1 complex-CAFs.CAFs,0.671,0.59,1.137288136,0.055870509
JAM3_JAM3,CAFs.CAFs,JAM3_JAM3-CAFs.CAFs,0.496,0.48,1.033333333,0.014240439
FBN1_a5b1 complex,CAFs.CAFs,FBN1_a5b1 complex-CAFs.CAFs,1.831,1.46,1.254109589,0.098335489
COL4A2_a1b1 complex,CAFs.CAFs,COL4A2_a1b1 complex-CAFs.CAFs,2.341,2.048,1.143066406,0.058071461
COL4A1_a1b1 complex,CAFs.CAFs,COL4A1_a1b1 complex-CAFs.CAFs,2.646,2.063,1.282598158,0.108090612
NRP1_VEGFB,CAFs.CAFs,NRP1_VEGFB-CAFs.CAFs,0.7,0.1,7,0.84509804
NRP1_VEGFA,CAFs.CAFs,NRP1_VEGFA-CAFs.CAFs,0.637,0.1,6.37,0.804139432
MDK_LRP1,CAFs.CAFs,MDK_LRP1-CAFs.CAFs,2.916,1.096,2.660583942,0.424976965
COL18A1_a1b1 complex,CAFs.CAFs,COL18A1_a1b1 complex-CAFs.CAFs,3.66,1.171,3.125533732,0.49492419
PROS1_AXL,CAFs.CAFs,PROS1_AXL-CAFs.CAFs,0.688,0.1,6.88,0.837588438
IL6 receptor_IL6,CAFs.CAFs,IL6 receptor_IL6-CAFs.CAFs,1.633,2.807,0.581759886,-0.235256228
JAG1_NOTCH3,CAFs.CAFs,JAG1_NOTCH3-CAFs.CAFs,0.554,0.1,5.54,0.743509765
NRP2_VEGFA,CAFs.CAFs,NRP2_VEGFA-CAFs.CAFs,0.517,0.1,5.17,0.713490543
AXL_GAS6,CAFs.CAFs,AXL_GAS6-CAFs.CAFs,1.102,0.542,2.033210332,0.308182308
FN1_a5b1 complex,CAFs.CAFs,FN1_a5b1 complex-CAFs.CAFs,4.315,5.279,0.817389657,-0.087570862
EGFR_GRN,CAFs.CAFs,EGFR_GRN-CAFs.CAFs,1.059,1.131,0.936339523,-0.028566645
SIRPA_CD47,CAFs.CAFs,SIRPA_CD47-CAFs.CAFs,0.816,0.1,8.16,0.911690159
NRP2_SEMA3C,CAFs.CAFs,NRP2_SEMA3C-CAFs.CAFs,0.499,0.871,0.572904707,-0.241917609
EGFR_COPA,CAFs.CAFs,EGFR_COPA-CAFs.CAFs,0.612,0.498,1.228915663,0.089522079
FN1_aVb1 complex,CAFs.CAFs,FN1_aVb1 complex-CAFs.CAFs,4.477,5.082,0.880952381,-0.055047566
JAG1_NOTCH2,CAFs.CAFs,JAG1_NOTCH2-CAFs.CAFs,0.689,0.1,6.89,0.838219222
LAMP1_FAM3C,CAFs.CAFs,LAMP1_FAM3C-CAFs.CAFs,1.889,1.111,1.700270027,0.230517899
TNFRSF1A_GRN,CAFs.CAFs,TNFRSF1A_GRN-CAFs.CAFs,1.317,1.645,0.800607903,-0.096580127
CD40_CD40LG,CAFs.CD4_T_cells,CD40_CD40LG-CAFs.CD4_T_cells,0.609,0.71,0.857746479,-0.066641056
CD40_TNFSF13B,CAFs.CD4_T_cells,CD40_TNFSF13B-CAFs.CD4_T_cells,0.872,0.1,8.72,0.940516485
