Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
Melanocytes,pDCs,21.6330 ,11.0000 ,25.4080 ,13.0000 ,0.8514 ,0.8462 ,35.2660 ,18.0000 ,26.8170 ,11.0000 ,1.6302 ,1.6364 ,1.0555 ,0.8462 ,1.5445 ,1.9339 
Myofibroblasts,B_cells,20.2970 ,7.0000 ,22.4210 ,9.0000 ,0.9053 ,0.7778 ,23.1970 ,8.0000 ,22.9670 ,9.0000 ,1.1429 ,1.1429 ,1.0244 ,1.0000 ,1.1157 ,1.1429 
Myofibroblasts,CAFs,101.1160 ,44.0000 ,151.5720 ,36.0000 ,0.6671 ,1.2222 ,276.4630 ,53.0000 ,125.7550 ,33.0000 ,2.7341 ,1.2045 ,0.8297 ,0.9167 ,3.2954 ,1.3140 
Myofibroblasts,CD4_T_cells,20.5740 ,7.0000 ,31.7900 ,12.0000 ,0.6472 ,0.5833 ,24.2180 ,7.0000 ,30.1430 ,13.0000 ,1.1771 ,1.0000 ,0.9482 ,1.0833 ,1.2414 ,0.9231 
Myofibroblasts,CD8_act_T_cells,36.7090 ,8.0000 ,28.2750 ,8.0000 ,1.2983 ,1.0000 ,36.7760 ,9.0000 ,33.4360 ,15.0000 ,1.0018 ,1.1250 ,1.1825 ,1.8750 ,0.8472 ,0.6000 
Myofibroblasts,CD8_ex_T_cells,27.1740 ,7.0000 ,38.0810 ,16.0000 ,0.7136 ,0.4375 ,23.6800 ,7.0000 ,23.9430 ,11.0000 ,0.8714 ,1.0000 ,0.6287 ,0.6875 ,1.3860 ,1.4545 
Myofibroblasts,CD8_mem_T_cells,41.4850 ,11.0000 ,35.8580 ,13.0000 ,1.1569 ,0.8462 ,137.4690 ,23.0000 ,24.3680 ,11.0000 ,3.3137 ,2.0909 ,0.6796 ,0.8462 ,4.8762 ,2.4711 
Myofibroblasts,DCs,17.7350 ,10.0000 ,23.3010 ,12.0000 ,0.7611 ,0.8333 ,28.6580 ,10.0000 ,23.2510 ,11.0000 ,1.6159 ,1.0000 ,0.9979 ,0.9167 ,1.6194 ,1.0909 
Myofibroblasts,Endothelial,44.1820 ,10.0000 ,309.1120 ,65.0000 ,0.1429 ,0.1538 ,163.7660 ,34.0000 ,157.0710 ,39.0000 ,3.7066 ,3.4000 ,0.5081 ,0.6000 ,7.2945 ,5.6667 
Myofibroblasts,Macrophages,40.0650 ,20.0000 ,38.4660 ,20.0000 ,1.0416 ,1.0000 ,108.7690 ,27.0000 ,42.1850 ,19.0000 ,2.7148 ,1.3500 ,1.0967 ,0.9500 ,2.4755 ,1.4211 
